study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB9326	SAMEA3375686	ERX953617	ERR874014	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874014/ERR874014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874014/ERR874014_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874014/ABGSA0025_SCEB01F01_6_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874014/ABGSA0025_SCEB01F01_6_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874014
PRJEB9326	SAMEA3375686	ERX953618	ERR874015	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874015/ERR874015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874015/ERR874015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874015/ABGSA0025_SCEB01F01_7_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874015/ABGSA0025_SCEB01F01_7_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874015
PRJEB9326	SAMEA3375686	ERX953619	ERR874016	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874016/ERR874016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874016/ERR874016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874016/ABGSA0025_SCEB01F01_8_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874016/ABGSA0025_SCEB01F01_8_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874016
PRJEB9326	SAMEA3375687	ERX953620	ERR874017	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874017/ERR874017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874017/ERR874017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874017/ABGSA0238_SCEB_Kb14130_ACAGTG_L00M_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874017/ABGSA0238_SCEB_Kb14130_ACAGTG_L00M_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874017
PRJEB9326	SAMEA3375688	ERX953621	ERR874018	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874018/ERR874018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874018/ERR874018_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874018/ABGSA0239_SCEB_Kb16508_GCCAAT_L00M_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874018/ABGSA0239_SCEB_Kb16508_GCCAAT_L00M_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874018
PRJEB9326	SAMEA3375688	ERX953622	ERR874019	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874019/ERR874019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874019/ERR874019_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874019/ABGSA0243_SCEB_Kb16508_GCCAAT_L00M_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874019/ABGSA0243_SCEB_Kb16508_GCCAAT_L00M_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874019
PRJEB9326	SAMEA3375689	ERX953623	ERR874020	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874020/ERR874020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874020/ERR874020_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874020/ABGSA0240_SCEB_Kb16637_CTTGTA_L00M_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874020/ABGSA0240_SCEB_Kb16637_CTTGTA_L00M_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874020
PRJEB9326	SAMEA3375689	ERX953624	ERR874021	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874021/ERR874021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874021/ERR874021_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874021/ABGSA0244_SCEB_Kb16637_CTTGTA_L00M_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874021/ABGSA0244_SCEB_Kb16637_CTTGTA_L00M_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874021
PRJEB9326	SAMEA3375690	ERX953625	ERR874022	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874022/ERR874022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874022/ERR874022_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874022/ABGSA0241_SCEB_Kb17528_GTGAAA_L00M_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874022/ABGSA0241_SCEB_Kb17528_GTGAAA_L00M_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874022
PRJEB9326	SAMEA3375690	ERX953626	ERR874023	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874023/ERR874023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874023/ERR874023_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874023/ABGSA0245_SCEB_Kb17528_GTGAAA_L00M_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874023/ABGSA0245_SCEB_Kb17528_GTGAAA_L00M_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874023
PRJEB9326	SAMEA3376934	ERX954908	ERR875305	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875305/ERR875305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875305/ERR875305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875305/ABGSA0030_SSPI21F02_2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875305/ABGSA0030_SSPI21F02_2_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875305
PRJEB9326	SAMEA3376934	ERX954909	ERR875306	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875306/ERR875306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875306/ERR875306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875306/ABGSA0031_SSPI21F02_2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875306/ABGSA0031_SSPI21F02_2_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875306
PRJEB9326	SAMEA3376935	ERX954910	ERR875307	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875307/ERR875307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875307/ERR875307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875307/ABGSA0015_PI21F05_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875307/ABGSA0015_PI21F05_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875307
PRJEB9326	SAMEA3376936	ERX954911	ERR875308	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875308/ERR875308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875308/ERR875308_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875308/ABGSA0041_SSPI21F06_1_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875308/ABGSA0041_SSPI21F06_1_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875308
PRJEB9326	SAMEA3376936	ERX954912	ERR875309	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875309/ERR875309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875309/ERR875309_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875309/ABGSA0041_SSPI21F06_2_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875309/ABGSA0041_SSPI21F06_2_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875309
PRJEB9326	SAMEA3376936	ERX954913	ERR875310	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875310/ERR875310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875310/ERR875310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875310/ABGSA0041_SSPI21F06_3_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875310/ABGSA0041_SSPI21F06_3_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875310
PRJEB9326	SAMEA3376936	ERX954914	ERR875311	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875311/ERR875311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875311/ERR875311_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875311/ABGSA0041_SSPI21F06_4_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875311/ABGSA0041_SSPI21F06_4_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875311
PRJEB9326	SAMEA3376936	ERX954915	ERR875312	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875312/ERR875312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875312/ERR875312_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875312/ABGSA0041_SSPI21F06_5_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875312/ABGSA0041_SSPI21F06_5_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875312
PRJEB9326	SAMEA3376936	ERX954916	ERR875313	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875313/ERR875313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875313/ERR875313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875313/ABGSA0041_SSPI21F06_6_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875313/ABGSA0041_SSPI21F06_6_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875313
PRJEB9326	SAMEA3376936	ERX954917	ERR875314	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875314/ERR875314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875314/ERR875314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875314/ABGSA0041_SSPI21F06_7_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875314/ABGSA0041_SSPI21F06_7_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875314
PRJEB9326	SAMEA3376936	ERX954918	ERR875315	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875315/ERR875315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875315/ERR875315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875315/ABGSA0041_SSPI21F06_8_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875315/ABGSA0041_SSPI21F06_8_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875315
PRJEB9326	SAMEA3376937	ERX954919	ERR875316	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875316/ERR875316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875316/ERR875316_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875316/120512_I305_FCD11CEACXX_L6_SZAIPI008922-17_1.fq.gz.clean.dup.clean.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875316/120512_I305_FCD11CEACXX_L6_SZAIPI008922-17_2.fq.gz.clean.dup.clean.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875316
PRJEB9326	SAMEA3376937	ERX954920	ERR875317	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875317/ERR875317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875317/ERR875317_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875317/120523_I290_FCD114AACXX_L7_SZAIPI008922-17_1.fq.gz.clean.dup.clean.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875317/120523_I290_FCD114AACXX_L7_SZAIPI008922-17_2.fq.gz.clean.dup.clean.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875317
PRJEB9326	SAMEA3376938	ERX954921	ERR875318	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875318/ERR875318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875318/ERR875318_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875318/120512_I305_FCD11CEACXX_L7_SZAIPI008923-18_1.fq.gz.clean.dup.clean.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875318/120512_I305_FCD11CEACXX_L7_SZAIPI008923-18_2.fq.gz.clean.dup.clean.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875318
PRJEB9326	SAMEA3376938	ERX954922	ERR875319	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875319/ERR875319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875319/ERR875319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875319/120523_I148_FCD1168ACXX_L3_SZAIPI008923-18_1.fq.gz.clean.dup.clean.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875319/120523_I148_FCD1168ACXX_L3_SZAIPI008923-18_2.fq.gz.clean.dup.clean.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875319
PRJEB9326	SAMEA3376939	ERX954923	ERR875320	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875320/ERR875320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875320/ERR875320_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875320/120426_I806_FCC0MUHACXX_L5_SZAIPI008170-123_1.fq.gz.clean.dup.clean.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875320/120426_I806_FCC0MUHACXX_L5_SZAIPI008170-123_2.fq.gz.clean.dup.clean.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875320
PRJEB9326	SAMEA3376939	ERX954924	ERR875321	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875321/ERR875321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875321/ERR875321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875321/120506_I224_FCC0RYYACXX_L4_SZAIPI008170-123_1.fq.gz.clean.dup.clean.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875321/120506_I224_FCC0RYYACXX_L4_SZAIPI008170-123_2.fq.gz.clean.dup.clean.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875321
PRJEB9326	SAMEA3376940	ERX954925	ERR875322	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875322/ERR875322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875322/ERR875322_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875322/ABGSA0309_PI21M11_PORHAP01151_PigWUR-128_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875322/ABGSA0309_PI21M11_PORHAP01151_PigWUR-128_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875322
PRJEB9326	SAMEA3376941	ERX954926	ERR875323	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875323/ERR875323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875323/ERR875323_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875323/ABGSA0013_PI21M17_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875323/ABGSA0013_PI21M17_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875323
PRJEB9326	SAMEA3376941	ERX954927	ERR875324	9825	Sus scrofa domesticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875324/ERR875324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR875/ERR875324/ERR875324_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875324/ABGSA0017_PI21M17_2_1.pp.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR875/ERR875324/ABGSA0017_PI21M17_2_2.pp.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR875/ERR875324
